Ax,Ay,Az,Gx,Gy,Gz,Pressure,Temperature,FALL
-2.060240964,8.43373494,2.144578313,-1.786259542,-8.396946565,-10.38167939,101.1076179,31.01707865,NO
-2.21686747,8.674698795,2.21686747,-0.992366412,-10.83969466,-10.6870229,101.1030399,31.01707865,NO
-2.060240964,8.590361446,2.120481928,0.335877863,-15.38931298,-9.72519084,101.0999879,31.01707865,NO
-1.86746988,8.602409639,2.156626506,-1.58778626,-16.73282443,-7.740458015,101.1060919,31.01707865,NO
-1.975903614,8.903614458,2.144578313,-2.717557252,-11.98473282,-5.557251908,101.1045659,31.01707865,NO
-2.313253012,9.337349398,2.228915663,-1.954198473,-11.2519084,-4.259541985,101.096936,31.01707865,NO
-2.156626506,9.686746988,2.397590361,-1.938931298,-16.59541985,-3.419847328,101.1030399,31.01707865,NO
-1.746987952,9.65060241,2.325301205,-2.961832061,-18.77862595,-1.664122137,101.096936,31.01707865,NO
-1.65060241,9.602409639,2.56626506,-5.06870229,-19.05343511,-2.381679389,101.1030399,31.01707865,NO
-1.421686747,9.542168675,2.638554217,-5.251908397,-18.71755725,-5.664122137,101.0999879,31.01707865,NO
-1.819277108,9.13253012,2.698795181,-8.503816794,-16.70229008,-9.816793893,101.0999879,31.01707865,NO
-1.843373494,8.951807229,2.228915663,-7.129770992,-16.1221374,-9.358778626,101.0999879,31.01707865,NO
-1.56626506,8.542168675,2.518072289,-4.687022901,-13.8778626,-6.183206107,101.098462,31.01707865,NO
-1.337349398,8.626506024,2.421686747,-2.061068702,-13.57251908,-3.816793893,101.096936,31.01707865,NO
-1.409638554,8.759036145,2.542168675,-2.702290076,-13.89312977,-3.20610687,101.098462,31.01707865,NO
-1.481927711,8.771084337,2.506024096,0.595419847,-12.29007634,-0.015267176,101.096936,31.01707865,NO
-1.506024096,8.807228916,2.506024096,2.290076336,-9.297709924,2.229007634,101.096936,31.01707865,NO
-1.518072289,8.879518072,2.530120482,3.06870229,-7.480916031,4.320610687,101.090832,31.01707865,NO
-1.662650602,8.86746988,2.506024096,3.053435115,-4.213740458,5.526717557,101.093884,31.01707865,NO
-1.698795181,8.927710843,2.409638554,3.877862595,-6.244274809,4.885496183,101.093884,31.01707865,NO
-1.626506024,9.084337349,2.674698795,5.190839695,-8.229007634,3.786259542,101.092358,31.01707865,NO
-1.542168675,9.421686747,2.662650602,2.900763359,-8.549618321,3.389312977,101.092358,31.01707865,NO
-1.469879518,9.795180723,2.481927711,2.442748092,-7.923664122,2.870229008,101.1076179,31.01707865,NO
-1.385542169,9.518072289,2.554216867,1.893129771,-9.20610687,2.763358779,101.096936,31.01707865,NO
-1.337349398,9.325301205,2.734939759,2.41221374,-6.748091603,2.778625954,101.1015139,31.01707865,NO
-1.301204819,9.21686747,2.590361446,1.175572519,-4.748091603,2.152671756,101.096936,31.01707865,NO
-1.21686747,9.048192771,2.542168675,0.93129771,-2.687022901,2.41221374,101.1153499,31.08259227,NO
-1.180722892,9.060240964,2.409638554,1.770992366,-1.541984733,2.977099237,101.1153499,31.08259227,NO
-1.048192771,9.120481928,2.626506024,2.259541985,-0.045801527,3.236641221,101.1229809,31.08259227,NO
-1.036144578,9.240963855,2.361445783,4.152671756,2.290076336,4.65648855,101.1229809,31.08259227,NO
-0.927710843,9.13253012,2.578313253,4.27480916,2.885496183,5.221374046,101.1168761,31.08259227,NO
-0.795180723,9.373493976,2.397590361,3.893129771,5.557251908,6.778625954,101.1077189,31.08259227,NO
-0.891566265,9.253012048,2.409638554,0.641221374,9.038167939,6.992366412,101.1122975,31.08259227,NO
-0.939759036,9.313253012,2.313253012,0.687022901,12.87022901,8.305343511,101.1107713,31.08259227,NO
-1.108433735,9.493975904,2.168674699,3.099236641,15.46564885,8.229007634,101.1153499,31.08259227,NO
-1.361445783,9.301204819,2.012048193,3.618320611,13.14503817,7.083969466,101.1168761,31.08259227,NO
