Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	
Timestamp	Timestamp	Low Noise Accelerometer X	Low Noise Accelerometer X	Low Noise Accelerometer Y	Low Noise Accelerometer Y	Low Noise Accelerometer Z	Low Noise Accelerometer Z	Gyroscope X	Gyroscope X	Gyroscope Y	Gyroscope Y	Gyroscope Z	Gyroscope Z	
RAW	CAL	RAW	CAL	RAW	CAL	RAW	CAL	RAW	CAL	RAW	CAL	RAW	CAL	
no units	mSecs	no units	m/(sec^2)*	no units	m/(sec^2)*	no units	m/(sec^2)*	no units	deg/sec*	no units	deg/sec*	no units	deg/sec*	
30720	24917.96875	2833	-2.20481927710843	2230	-9.46987951807229	2257	-2.53012048192771	-33	-0.0610687022900763	4	0.50381679389313	99	-1.51145038167939	
31360	24937.5	2831	-2.14457831325301	2225	-9.44578313253012	2261	-2.57831325301205	-40	0.290076335877863	-19	0.610687022900763	102	-1.55725190839695	
32000	24957.03125	2829	-2.12048192771084	2223	-9.42168674698795	2260	-2.56626506024096	-29	0.488549618320611	-32	0.442748091603053	87	-1.32824427480916	
32640	24976.5625	2833	-2.13253012048193	2224	-9.46987951807229	2260	-2.56626506024096	-56	-0.244274809160305	16	0.854961832061069	68	-1.0381679389313	
33280	24996.09375	2829	-2.09638554216868	2221	-9.42168674698795	2260	-2.56626506024096	-60	0.458015267175573	-30	0.916030534351145	77	-1.17557251908397	
33920	25015.625	2827	-2.06024096385542	2218	-9.39759036144578	2261	-2.57831325301205	-67	0.290076335877863	-19	1.02290076335878	57	-0.870229007633588	
34560	25035.15625	2830	-2.09638554216868	2221	-9.43373493975904	2260	-2.56626506024096	-36	-0.534351145038168	35	0.549618320610687	34	-0.519083969465649	
35200	25054.6875	2828	-2.13253012048193	2224	-9.40963855421687	2263	-2.60240963855422	-33	-0.702290076335878	46	0.50381679389313	28	-0.427480916030534	
35840	25074.21875	2832	-2.13253012048193	2224	-9.45783132530121	2263	-2.60240963855422	-43	-1.06870229007634	70	0.656488549618321	29	-0.442748091603053	
36480	25093.75	2835	-2.08433734939759	2220	-9.49397590361446	2266	-2.63855421686747	-72	-0.931297709923664	61	1.09923664122137	25	-0.381679389312977	
37120	25113.28125	2835	-2.03614457831325	2216	-9.49397590361446	2265	-2.62650602409639	-86	-0.442748091603053	29	1.31297709923664	28	-0.427480916030534	
37760	25132.8125	2833	-2.06024096385542	2218	-9.46987951807229	2263	-2.60240963855422	-85	-0.0152671755725191	1	1.29770992366412	27	-0.412213740458015	
38400	25152.34375	2831	-2.09638554216868	2221	-9.44578313253012	2259	-2.55421686746988	-85	0.122137404580153	-8	1.29770992366412	21	-0.320610687022901	
39040	25171.875	2831	-2.10843373493976	2222	-9.44578313253012	2263	-2.60240963855422	-126	0.0763358778625954	-5	1.9236641221374	30	-0.458015267175573	
39680	25191.40625	2829	-2.10843373493976	2222	-9.42168674698795	2264	-2.6144578313253	-118	0.0610687022900763	-4	1.80152671755725	26	-0.396946564885496	
40320	25210.9375	2832	-2.08433734939759	2220	-9.45783132530121	2264	-2.6144578313253	-119	-0.244274809160305	16	1.81679389312977	33	-0.50381679389313	
40960	25230.46875	2831	-2.08433734939759	2220	-9.44578313253012	2262	-2.59036144578313	-132	-0.152671755725191	10	2.01526717557252	18	-0.274809160305344	
41600	25250	2835	-2.10843373493976	2222	-9.49397590361446	2262	-2.59036144578313	-127	-0.442748091603053	29	1.93893129770992	25	-0.381679389312977	
42240	25269.53125	2829	-2.14457831325301	2225	-9.42168674698795	2262	-2.59036144578313	-120	-0.290076335877863	19	1.83206106870229	23	-0.351145038167939	
42880	25289.0625	2828	-2.1566265060241	2226	-9.40963855421687	2258	-2.5421686746988	-118	-0.274809160305344	18	1.80152671755725	36	-0.549618320610687	
43520	25308.59375	2827	-2.19277108433735	2229	-9.39759036144578	2258	-2.5421686746988	-121	-1.02290076335878	67	1.84732824427481	29	-0.442748091603053	
44160	25328.125	2831	-2.19277108433735	2229	-9.44578313253012	2262	-2.59036144578313	-113	-1.45038167938931	95	1.72519083969466	43	-0.656488549618321	
44800	25347.65625	2832	-2.21686746987952	2231	-9.45783132530121	2264	-2.6144578313253	-112	-1.37404580152672	90	1.70992366412214	49	-0.748091603053435	
45440	25367.1875	2832	-2.20481927710843	2230	-9.45783132530121	2264	-2.6144578313253	-98	-1.17557251908397	77	1.49618320610687	58	-0.885496183206107	
46080	25386.71875	2831	-2.18072289156627	2228	-9.44578313253012	2263	-2.60240963855422	-67	-1.02290076335878	67	1.02290076335878	52	-0.793893129770992	
46720	25406.25	2830	-2.1566265060241	2226	-9.43373493975904	2265	-2.62650602409639	-60	-0.549618320610687	36	0.916030534351145	51	-0.778625954198473	
47360	25425.78125	2829	-2.14457831325301	2225	-9.42168674698795	2266	-2.63855421686747	-94	-0.381679389312977	25	1.43511450381679	36	-0.549618320610687	
48000	25445.3125	2828	-2.13253012048193	2224	-9.40963855421687	2265	-2.62650602409639	-92	-0.0916030534351145	6	1.40458015267176	19	-0.290076335877863	
48640	25464.84375	2826	-2.14457831325301	2225	-9.3855421686747	2265	-2.62650602409639	-77	-0.244274809160305	16	1.17557251908397	-1	0.0152671755725191	
49280	25484.375	2836	-2.14457831325301	2225	-9.50602409638554	2263	-2.60240963855422	-66	-0.549618320610687	36	1.00763358778626	-7	0.106870229007634	
49920	25503.90625	2838	-2.12048192771084	2223	-9.53012048192771	2263	-2.60240963855422	-91	0.33587786259542	-22	1.38931297709924	15	-0.229007633587786	
50560	25523.4375	2836	-2.10843373493976	2222	-9.50602409638554	2259	-2.55421686746988	-66	0.732824427480916	-48	1.00763358778626	23	-0.351145038167939	
51200	25542.96875	2833	-2.09638554216868	2221	-9.46987951807229	2263	-2.60240963855422	-81	0.366412213740458	-24	1.23664122137405	47	-0.717557251908397	
51840	25562.5	2830	-2.09638554216868	2221	-9.43373493975904	2263	-2.60240963855422	-63	0.366412213740458	-24	0.961832061068702	47	-0.717557251908397	
52480	25582.03125	2827	-2.09638554216868	2221	-9.39759036144578	2266	-2.63855421686747	-85	0.366412213740458	-24	1.29770992366412	59	-0.900763358778626	
53120	25601.5625	2830	-2.10843373493976	2222	-9.43373493975904	2269	-2.67469879518072	-91	-0.244274809160305	16	1.38931297709924	65	-0.99236641221374	
